Comment;Negative;Neutral;Positive;Compound
Very ironic that Trump should be criticising Haley that for appearing on stage thinking she had won the Iowa and NH primaries (of course she never said so during her speeches) when he himself openly claimed (and stil claims) that he won the 2020 Presidential election that he lost the electoral vote by 306 to 232.;0.1;0.734;0.166;0.7608
Nikki Haley why don't you run as an independent and get Chris Christie is your vice president.;0.0;1.0;0.0;0.0
I'd never vote for Nikki Haley. I'm only voting for Trump.;0.0;1.0;0.0;0.0
How can such a small non contributing to the economy state like nh make such a difference in elections?😂;0.061;0.637;0.303;0.8225
We all already know Trump is winning. People can just stop running.;0.141;0.641;0.218;0.296
Trump 2024🎉  USA 🇺🇸;0.0;0.649;0.351;0.4019
thing is ... she's still far ahead of him BECAUSE SHE'S NOT THE FELONY CRIMINAL DEFENDANT WHO'S OUT ON BAIL FACING PRISON;0.136;0.639;0.226;0.3975
Crazy;1.0;0.0;0.0;-0.34
"Trump: ""Nikki Haley won so much, she's gonna' be my next Ambassador to Cuuubaaa - Resident.""";0.0;0.802;0.198;0.5719
"IT WAS RIGGED !!! ITS FAKE!!! THE RESULTS ARE FAKE!!! ITS A HOAX!!! THEY'RE OUT TO GET US!!! IT WAS STOLEN!!! 
😂😂😂💙🇺🇸💙";0.36;0.411;0.229;-0.7865
❤ Trump!!! Trump 2024!!;0.0;0.427;0.573;0.7482
we love you;0.0;0.323;0.677;0.6369
Trump he is winning;0.0;0.469;0.531;0.5267
No more RHINOS, NIKKI HAS TO GO!;0.293;0.707;0.0;-0.3595
I am black, who am I supposed to vote for then, the racists? I have no other option than Biden.;0.241;0.759;0.0;-0.6908
Trump clearly lost Independents in NH which he needs to win in a general election as no one motivates Democrats to vote in massive numbers more than Trump. 66% of Haley voters said they will not vote for Trump in a general election. It's not shaping up to be a victory in the general election, look at the stats. Glad you all happy and excited to vote for the guy who can't win the general election.;0.08;0.712;0.208;0.9179
Hurry up, President Trump, Tim Scott, needs to get back to his, “girlfriend “;0.0;1.0;0.0;0.0
Haley was helped by independent voters who lean Democrat in NH - plus - 4,000 Democrats who switched their party affilation to vote in the primary. They almost certainly all voted against Trump. And she still lost by double digits!;0.049;0.761;0.191;0.7738
This news is completely irrelevant, since the convicted, sex offender and fail, insurrectionist ex-president will soon be bankrupted, convicted, and incarcerated, and the Republicans will again lose a presidential election, no matter who they place on the ballot… despite the tacit endorsement of Forbes…;0.231;0.769;0.0;-0.8669
It’s in the news that 89 % republicans went for Trump, undeclared made up most of Nikis loss.;0.131;0.869;0.0;-0.3744
To paraphrase Chris Crispy Creme, Evil Nikki is going to get SMOKED in South Carolina!;0.251;0.749;0.0;-0.69
Even with the democrats helping her  (👎🏽) she lost by double digits;0.118;0.769;0.113;-0.0258
Every time I hear these freaking traitors, chant USA. My stomach turns this is crazy. How are you chanting  USA when you're trying to overthrow the USA;0.172;0.828;0.0;-0.6369
Wait! He's telling Haley to stop acting like she won??? That's rich!;0.104;0.379;0.517;0.8665
Every where India included left corrupt have to go;0.0;1.0;0.0;0.0
America being destroyed and that’s more important than Haley !  She’s a showboat hack for socialist dems and donors  . Florida 😎 Trump ! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸;0.094;0.738;0.168;0.3563
His village  called they don't want him back.;0.149;0.851;0.0;-0.0572
"He's SO UPSET she didn't concede and kiss his ring like ALL THE OTHER LOSERS DO. IF ANYONE KNOWS ABOUT BULLSHIT, ""HE DOES!"" THAT'S ALL HE SPEWS ! ASK ANY OF HIS WIVES, OR EX  BUSINESS PARTNERS. 😂😂😂😂😂😂😂";0.257;0.476;0.267;0.7208
GO TRUMMMMP;0.0;1.0;0.0;0.0
درود برسانم نیکی هلی پیراهن یقه اسگی زیبا تر میشود 🎉;0.0;0.803;0.197;0.4019
Haha trump sure knows how to smack talk. Ouchies for Nikki;0.0;0.629;0.371;0.6486
CONGRATULATIONS to the next PRESIDENT of the UNITED STATES: DONALD J. TRUMP!  Astonishing victory!😃;0.0;0.587;0.413;0.9052
Narcissistic and mean- spirited.Where are the policies?;0.0;1.0;0.0;0.0
I love Trump just collecting his cabinet along the way.;0.0;0.682;0.318;0.6369
Trump for sure 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤ from Africa Nigeria;0.0;0.311;0.689;0.9908
Trump/Putin 2024;0.0;1.0;0.0;0.0
Revelations is happening.  Satan has risen;0.0;1.0;0.0;0.0
Seems Trump's problem is that about 45% of Republicans don't like him. So, just like last time he wins the GOP nomination, if his legal or age troubles allow for it, and still can't win the general election. because 100% of Democrats and half the independents won't vote for him either. The GOP needs a candidate that get's virtually all the GOP voters and more than half of the independents.;0.132;0.752;0.116;-0.3142
"Nikki Hayley is that old chick that thinks she looks as good as she did at 20 
Delulu all the way";0.0;0.873;0.127;0.4404
As a Indian, I urge Haley to please give up and don't embarass us.;0.0;0.85;0.15;0.3182
I like how the clip started after the unhinged part where Trump struggled to breathe and rambled almost incoherently about Haley and her dress. Well, you reap what you sow. I just don’t want to reap what you sow.;0.055;0.808;0.136;0.3612
Oohhh baby;0.0;1.0;0.0;0.0
Yea trump 🎉;0.0;0.526;0.474;0.4019
If trump barely makes it over 50% in a primary , he’ll get roasted in a general;0.0;1.0;0.0;0.0
Nikki is a closeted liberal...MAGA;0.0;1.0;0.0;0.0
THE ELECTION IS RIGGED!!!!  NIKKI HALEY WAS ROBBED!!! LOL;0.186;0.52;0.295;0.3544
The world is watching president Trump. Love from Portugal!!!!!;0.0;0.598;0.402;0.7482
Haley: I won!!! How do i know that? As an accountant i know how to fidge up numbers real good baby and i know the election numbers just need my woman accountant's touch. Hehe.;0.0;0.811;0.189;0.8164
Republicans....let us think again. Do you want trump who has very little to no respect at all for rule of law, democracy and peace to lead the great america? Trump is also signalling a dictatorial leadership style...its scary......so law abiding republicans do not let trump take the party on a roller coaster ride journey through 90 plus legal charges....vote responsibly.;0.055;0.758;0.187;0.8507
Сегодня говорить о выборах и ждать перемен это наивно.  Им нужна обезьяна, которая скажет мы будем и финансировать деньгами и оружием, поскольку Израиль имеет прво на самообору. Это актеры, которым отведена роль популизма лишеноного каких либо действий. Посмотрите на клоуна с бензопилой в Аргентине.;0.0;1.0;0.0;0.0
Lmao, Forbes Breaking News is a joke. Trump's win was an EPIC FAILURE;0.176;0.392;0.432;0.7066
Gettm boss hog 🎉😂;0.123;0.455;0.422;0.6808
Hey dumpy.yiu lost big time.i know the numbers.dt again. You lost u lost  u lost. U lost.;0.489;0.511;0.0;-0.8591
Blacks for Trump! 2024!;0.0;1.0;0.0;0.0
47th Incoming.;0.0;1.0;0.0;0.0
Damn trump destroying republican party 😂 it might be the end for them;0.307;0.449;0.243;-0.1779
Big donors will not allow her to drop out. Puppet.;0.32;0.68;0.0;-0.4149
I don’t get angry. I get even;0.355;0.645;0.0;-0.5106
Out okok;0.0;1.0;0.0;0.0
"""The woman with the fancy dress?"" says the guy with the stinky diapers?";0.192;0.808;0.0;-0.4329
Nikki Haley is a flip flopper and that is a fact;0.0;1.0;0.0;0.0
Thanks.be to God. ❤❤❤ congrats;0.0;0.216;0.784;0.959
American people know who nickie is lol;0.0;0.682;0.318;0.4215
The irony and delusional of Trump calling out Haley for taking a victory lap, while on the same speech, still claiming he's won 2020. And his disciples too clueless to notice.;0.105;0.791;0.105;0.25
Trump got 11 Delegates, Haley got 8 Delegates. Trump's Lies and Crimes costing him Thousands of Concerned GOP Voters. Lock him Up! Vote Haley!;0.128;0.872;0.0;-0.5242
"As for Trump, he should be ashamed of himself for acting like a poor sport in criticizing Nikki Haley for staying on in the Republican nomination race.

That poor sportsmanship shows why Trump is not fit to be President.";0.282;0.668;0.051;-0.8862
This is fantastic news to see our real President Trump being presidential and fully in control. Good luck America, you know Donald Trump is the one and only one to Make America Great Again.;0.0;0.684;0.316;0.9308
Trump 2024!!!;0.0;1.0;0.0;0.0
If joe Biden can’t win the military industrial complex  and the democrats with settle for Nikki Haley  she part of the  same circle  she sings from the same him  sheet/song  she gw bush in lips and heal s she part of the  Democrat/rep war monging   Establishment;0.075;0.851;0.074;-0.0258
All illegal immigrants will be voting against Trump because comunists (DemoRats) use to provide fake id registrations for voting.;0.283;0.717;0.0;-0.7717
Nikki, you never stood a chance against Trump;0.199;0.801;0.0;-0.1877
Trump is the evil Putin's only hope he can't wait for Trump to become president again he knows Trump will help to make Russia 🇷🇺 great again 🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺💙💙;0.091;0.536;0.373;0.9287
"#MAGA
LETS GO BRANDON!";0.0;1.0;0.0;0.0
She is losing in her own State S.carolina;0.271;0.729;0.0;-0.3818
He should do a show comedy act in Vegas;0.0;0.762;0.238;0.3612
Go Trump! Woooooooooooo;0.0;1.0;0.0;0.0
I have to admit, US politics is a lot more fun with Trump! And look at him, so much more energetic than sleepy joe 😂;0.049;0.618;0.333;0.901
Kikki Haley is a puppet of the WEF inside the republican party 😮;0.0;0.847;0.153;0.4019
Soon, all of them will be kissing his fat behind to get employed if indeed his wins.... the world minus Hungary, North Korea, and Putin. Will be very concerned for the future of America .;0.0;0.817;0.183;0.8126
lets hope supreme court makes sure that Trump cant run, because if he can and should win we will end up in third world war, and it might be the end to everything. If you dont belive me all you need to do is to check what are Russia doing if they win in Ukraine, then they are aiming for Poland and that is a NATO country.;0.048;0.75;0.202;0.91
Haley was funded by billionaire Democrat donors in the NH primary. Haley received 70% of her votes from Democrats. Haley will never drop out even after she loses her home state of SC. Haley knows the fix is in and she'll become the nominee just as Hillary Rodham Clinton did. Haley is the chosen one by the military industrial complex. If no one believes this, ask Alexander Soros why he insinuated on X  that he would pay to have Trump taken out. The tweet was removed yesterday due to threatened violence.;0.127;0.818;0.056;-0.7394
Tim Scott is the worst looser;0.451;0.549;0.0;-0.6249
"""I don't get angry, I get even"". Trump I'm holding you to your word!";0.0;0.813;0.187;0.4577
Yeah Insurrectionist, you think your winning.  Keep losing those court battles and you'll be iff the ticket in more states.  DONT VOTE FOR THE CON;0.164;0.66;0.176;0.1027
I love this guy😊;0.0;0.37;0.63;0.8807
"We need a Mr. Trump in Western Europe! ...A true American patriot and for Western values!
...... Current statistics: If Hungary takes in 1 refugee, Austria takes in 2,000. So 2000 times more. There is an outcry among the Austrian population. There is a Commissioner for Migration/Home Affairs in the EU Parliament named Ylva Johansson, but what use is she? -> Former communist: In the 1988 parliamentary elections, Johansson was elected as a member of the Swedish Riksdag for the Left Party – Communists (VPK). She later left the party and joined the Social Democrats. .... Her hobby is knitting. ……. 
GENEVA 14 Sep 2023  EU Home Affairs Commissioner Ylva Johansson was filmed knitting during EU Commission President Ursula von der Leyen's annual State of the Union address, making headlines.";0.016;0.902;0.083;0.8513
"Dont believe all the democrats voted for Haley cause they are tired of Biden and they THINK she woild have provided change but she didnt win she LOST.  

Winners are not allowed to let losers tell lies.";0.272;0.588;0.14;-0.7877
Good let Trump win so we can vote against him again in 2024 then maybe this fool will go away;0.125;0.628;0.247;0.5147
Whose side is Forbes on?;0.0;1.0;0.0;0.0
"Tim ""Sambo"" Scott.";0.0;1.0;0.0;0.0
Tim Scott is always Channeling his inner Amos&Andy.;0.0;1.0;0.0;0.0
By staying in the race Hayley is a traitor to her party and worse still to the American people!;0.147;0.736;0.117;-0.1759
It’s cute but he’s still gonna lose;0.336;0.474;0.19;-0.3716
Hooray for Trump! 🎉🎉 Australia needs a Trump!;0.0;0.463;0.537;0.8513
Trump 2024 !!!;0.0;1.0;0.0;0.0
Just like you in the last election, you didn't win, Joe Biden did!  Bahahahahahahaha;0.188;0.672;0.14;-0.2177
🐤🧠;0.0;1.0;0.0;0.0
Doesn’t matter how hard he do and how much we love him but the end he may not win because the Democrats they steal the ballots again it sad for our country because China behind.  He won the people but he can’t win the evils;0.274;0.524;0.202;-0.7103
3 party system, self sufficient, needy and greedy. The gloves need to come off, Trump will do that for the builders and the destroyers are terrified.;0.336;0.588;0.076;-0.8519
Nikki hillary thinks she won 😂😂😂😂😂😂;0.19;0.367;0.442;0.9643
Nikki should run for the queen of davos or england or the united nations.;0.0;0.823;0.177;0.4215
Trump is the only one who can save America;0.0;0.714;0.286;0.4939
She won the on truthfulness;0.0;0.319;0.681;0.7506
Shes a well known warmonger;0.433;0.333;0.233;-0.4215
Con man dtrump,   mob man;0.0;1.0;0.0;0.0
Are the de.s also doin elections now?;0.0;1.0;0.0;0.0
Bill Stepien, Trump’s own campaign manager testified under oath that DT’s claimed of election fraud are “neither honest nor professional.”;0.151;0.717;0.131;-0.128
Ain't that the pot calling the kettle a crackhead;0.0;1.0;0.0;0.0
Don’t worry folks! Poor Nikki. 😔 She simply needs a lil time to practice her curtesy before she’s forced to surrender to her grand wizard in a day or two! 🤷‍♀️;0.218;0.684;0.098;-0.7418
It was like a drag race hey Haley you came in second 😂😂😂;0.188;0.469;0.343;0.8519
1000th comment.;0.0;1.0;0.0;0.0
USA !  USA. !;0.0;1.0;0.0;0.0
All I see is crazy Tim Scott.;0.286;0.714;0.0;-0.34
Why is Hayley running for the Republicans, she is clearly an establishment socialist, very odd.;0.142;0.711;0.148;0.0276
SUPPOSEDLY HE DID NOT WIN EITHER.  BIDEN WON VIA WRITE IN ON BALLOT.....;0.173;0.619;0.208;0.1601
Go Trump go;0.0;1.0;0.0;0.0
President Trump sounded petty and while he may be ahead now, but he is going to need a mix of voters who are not typical Trump voters.  Many women don’t like Trump because of this exact thing.  Following his comments both Kelly Ann Conway and Shawn Hannity said he missed an opportunity to run against Biden.  In fact, Trump elevated Gov Nikki by his rude and unnecessary comments.  I still am not convinced that the DNC will select Biden as their comment.  They always play the long game.  It is not inconceivable that at the last minute they will pick Michelle Obama “when they go low we go high”, and Trump will lose.  We cannot afford to have that happen!  I agree with Trump when he says if we lose, we are going to lose our country.  Every time he does great, he shoots himself in the foot.  Stop now!  Mr President, they HAVE weaponized the enforcement agencies and the courts, and the way you have been harassed throughout your presidency is abominable.  Don’t let them win now.  Be presidential!  Statesmen and Christians don’t act the way you did tonight.  This behavior is beneath you.  Thank you for being brave, for your fortitude in the face of overwhelming odds against you personally.  I am praying for you, your family, your safety.  Don’t blow it now.;0.115;0.741;0.144;0.8977
He literally stormed you capitol and you vote for him. This is insane.;0.184;0.816;0.0;-0.4019
Delicious;0.0;0.0;1.0;0.5719
U know I’ve never beeen too political in my whole life but I hope the right wins everything this year . Trump 2024 . I’m all the way right and all the way trump for this country . Jesus commander he is .;0.0;0.822;0.178;0.872
Na na na na, na na na na, hey hey hey, goodbye.;0.0;1.0;0.0;0.0
Trump is a total nut job 😂;0.129;0.612;0.259;0.4404
“me me me me me me me me”…. me me me me me” “I’m so great”… “me me me me me” … “did I mention I was great?” -Trump 😂;0.05;0.849;0.101;0.4404
Nikki Haley is a WAR HAWK! No war with Russia! Nikki Haley will allow open borders and she’s a liberal.;0.17;0.624;0.207;-0.2894
Good job Haley, you performed way better than expected.;0.0;0.547;0.453;0.7003
Nikki's speech was like the team that came in second in the Super Bowl and then tried to run onto the field to collect the big trophy!;0.0;0.789;0.211;0.7712
"*TRUMP 2024* 

From the UK";0.0;1.0;0.0;0.0
В России, Великобритании, Испании и в США есть банды ФБР, которые отмывают деньги на продаже оружия и героина, и держат заложников для решения своих вопросов это Джордж Сорос, Дональд Трамп, Джо Байден, Герцог Йоркский, Герцог Эдинбургский, Лесли Грехем, сенаторы Менендес Грехем Тан, конгрессмены Раскин Сантос Ромни Рой, Папа Франциско, Патриарх Кирилл, Камала Харрис, Вивек Рамасвами, Клодин Гей, Джастин Трюдо, Нарендра Моди, Барак Обама, Марк Спенсер, Михаил Мишустин, Сергей Шойгу, Николай Патрушев, Сергей Нарышкин, Виктор Орбан, Андраш Силади, Отто Карас, Ларс Столпе, Ласло Шюте, Антонио Манрес, Вячеслав Володин, Сергей Лавров, Мария Лаврова, Сергей Шухман, Наум Валер, Тони Блер, Хуан Карлос Сепулькре, Хулио Сезар Аула, Педро Санчес, Александр Элина Николаевы, Михаил Вольф, Дмитрий Попов, Сергей Неронов, братья Аполлоновы, Андрей Аверин, Жиль Фужер, Цезарь Теруель, Борис Джонсон, Марина Шакбазян, Елена Дмитрий Светлана Осепчуговы, Дмитрий Шалыгин, Галина Нина Алексей Шарикян, Евгений Смирнов, Борис Кисуленко, Нина Фигурова, Лидия Бурдасова, Яна Беккер, Ахмед Мерзоев, Алексей Пивоваров, Александр Плучев, Татьяна Лазарева, Елена Большун, Людмила Павловская, Татьяна Аладьина, Карл Ренц, Парамаханса Вишвананда, Имран Кхан, Артур Сита, Джо Диспенза, Садхгуру, Экхарт Толле, Муджи, Гангаджи, Адьяшанти Руперт Спайра, Андрей Курпатов, Саламат Сарсекенов, Дмитрий Тюрин, Имрам, Тони Парсонс, Гегам, Даян, Дима Елистратов, Дассий, Пранава, Денис Дзен, Уэйн Ликермен, Шри Рави Шанкар, Шри Багаван, Пилот Баба, Нукуну Ларсен, Даниил Зуев, Сатья Дас, Марк Бартон, Михаил Лабковский, Виктория Степанова, Анетта Орлова, Алексей Ситников, Татьяна Черниговская, Вишнудевананда, Джефф Фостер, Павел Логинов, Михаил Ольга Зайцевы, братья Ротенберг, Алиса Ротенберг, Александр Куликов, Владимир Попов, Алексей Владовский, Алексей Меркулов, Светлана Цивлева, Светлана Ситникова, Дарья Кабулова, Игорь Липсиц, Ольга Романова, Мария Романова, Павел Астахов, Михаил Пиотровский, Николай Цицкаридзе, Михаил Ходорковский, Екатерина Шульман, Владимир Зеленский, Дмитрий Кулеба, Михаил Подоляк, Михаил Барышников, Алексей Ирина Ипатовы, Ольга Мелехина, Ольга Суворова, Евгений Георгиевич Суворов, Кристофер Рей , Георгия Мелони, Эмануэль Макрон, Владимир Путин, Людмила Путина, Екатерина Тихонова, Мария Воронцова, Дмитрий Песков, Татьяна Навка, Бенжамин Нетоньяху, Александр Лукашенко, Мари Ле Пен, Анналена Байербок, Риши Сунак, Капел Феррер, Кир Стамер, Валерий Герасимов, Илон Маск, Михаил Опарин, Александра Пивоварова,  Брахану, Дмитрий Медведев, Валентина Матвиенко, Виктор Садовничий, Хибла Герзмава, Валерий Гергиев, Андрей Сидерский, Наталья Бондарчук, Александр Ширвиндт, Наталья Ламанова, Ирина Политова, Ирина Енченко, Татьяна Исаева, Олег Тарасов, Ласло Холл, Геза Диоши, Андрей Беспалов, Андрей Масло, Олег Даров, Елена Татьяна Брежневы, Татьяна Успенская, Николай Бурляев, Никита Казаньев, Тамара Казаньева, Кирилл Овчинников, Виктория Крейшман, Марк Урнов, Наталья Новожилова, Елена Рукавишникова, Наталья Рукавишникова, Елена Славина, Владимир Стрельцов, Надежда Харитонова, Вера Харитонова.;0.0;1.0;0.0;0.0
#Trump2024;0.0;1.0;0.0;0.0
And republicans are proud of this?;0.0;0.617;0.383;0.4767
Guess it’s good news for CNN viewership;0.0;0.674;0.326;0.4404
Nicki drinkin Dat Boe Jiden juice 🥤 🤪;0.0;1.0;0.0;0.0
Mean tweets > Biden wars;0.474;0.526;0.0;-0.5574
All I can think 🤔 of is Oh Tim Tim  Tim damn Tim  how can you Tim, Et tu Brute. Don't take it to hard Nikki.;0.141;0.859;0.0;-0.4767
Trump is not fit for office;0.297;0.703;0.0;-0.2755
Biggest lier in recent history;0.0;1.0;0.0;0.0
"What you doing !!! ""Nothing , nothing , just hanging around""😂😂";0.13;0.581;0.29;0.7701
A fish rots from the head down.  Thanks to Nikki Haley on Boeing’s Board of Directors for approving the last CEO’s golden parachute. Sadly, 300+ passengers and 2 sets of crew had no parachutes whatsoever and paid for the CEO’s golden parachute with their lives.;0.1;0.842;0.058;-0.2732
Drumpf LOST to Clinton in 2016 by 2200 votes and lost to Biden by 59k votes in 2020! He LIES!!;0.364;0.636;0.0;-0.8671
What a Lunatic!!!;0.671;0.329;0.0;-0.6219
New government regulations introduced last year will allow Israel to sell more weapons to a greater range of countries without licences – and so, with less oversight. It pays: Israeli weapon export figures have doubled over the past decade, totalling $12.5bn last year.;0.111;0.799;0.09;-0.2484
He sounds so scared haha;0.373;0.299;0.327;-0.1187
Trump will be the first 2 year old to go to an adult prison.;0.202;0.798;0.0;-0.5106
Wasn't my kind of person before 2020. A lot changed.;0.0;1.0;0.0;0.0
"The key to saving our democracy and combatting the Putin/Trump plot to render America impotent is to help people see that Trump is not the victim of anti-American, left-wing persecution, but rather the American people are the victims of his lies, corruption and cheating in his seeking to take power and destroy our constitutionally guided laws, rights, principles and system of checks and balances in order to hold absolute power as a puppet of Putin, who will feel free to overrun our allies and us. 
Pray that those who are well intended, but duped by Trump, will wake up to reality and help save our country. Trump is evil!
There is no question that he is the enemy of all Americans.";0.22;0.65;0.131;-0.9541
Watch your words, talk about your plans to get us back top. Don’t act like a democrat, stop with the rhetoric, you are better than that!!;0.069;0.688;0.243;0.6792
I see what Nikki is doing! Trump trials are coming fast and hard! He’s going to be convicted in one of them, so the RNC will need a second pick!;0.073;0.927;0.0;-0.3129
Oh Trump can tell others they lost, but you can’t tell him ,he lost in 2020.;0.247;0.753;0.0;-0.5574
Think about it: Trump got 74 million and Biden got 81 million votes in 2020. We know how it was when Trump was president, and that’s why he lost! I don’t see a path for winning the 2024 election!;0.053;0.855;0.092;0.3987
A Vote for Trump is a Vote for Biden;0.0;1.0;0.0;0.0
Despite all the attempts from established and the media to destroy him, he is still prevailing.;0.189;0.811;0.0;-0.5423
nobody seems to have noticed Nikki Haleys audience during her speech sounded like they were bought and paid for their applause.  You can practically feel them looking around at each other so they can coordinate their applause at the same time.;0.0;0.824;0.176;0.7964
I think they Cheated--- Didn't everyone see them stuffing voting boxes and didn't you all see bags and bags of ballots being brought in.  The only way they could win is by cheating.  They were taking Ballots from under the table is what people are saying!!  I'm sure we need a recount!!!  Even if you do a recount we will not trust it!! Even if you recount 3 times we will not trust it!!!;0.154;0.777;0.07;-0.8112
Nikki should get that 2nd place is the 1st place loser! She can keep wasting that doner money all she wants and needs to wrap it up!;0.211;0.789;0.0;-0.7707
"Whoever voted for Nikki just know you are the problem in the world today
(repost)";0.162;0.838;0.0;-0.4019
Hillary Haley lost because she knows she’s can’t win and she’s not going to be his VP either.😭;0.199;0.662;0.14;-0.1531
Halley is not trustworthy. Why would she run against Trump when she knows she'll clearly lose? Because Dems and never trump reps support her with plenty of money. Anything to stop Trump or make it more difficult for him.;0.265;0.679;0.056;-0.8472
#Trump2024;0.0;1.0;0.0;0.0
🇺🇸TRUMP 2024👍🇺🇸;0.0;1.0;0.0;0.0
This proves the Dems are behind and funding haley her speech was awful and bizzare and her run in this race is futile;0.219;0.781;0.0;-0.7096
This world needs trump.   To stabilise and repair the fractures;0.0;1.0;0.0;0.0
🇺🇸. GOOD FOR TRUMP FOR CALLING DOWN ON HAYLE.  HER SPEECH WAS DISGRACEFUL FOR THE STANDARDS OF THE TRUE REPUBLICAN PARTY.   IT IS EVIDENT WHY and  WHERE HALEY IS GETTING BIG DONATIONS AND SINCE SHE HAS NO LOYALTY OR INTEGRITY, SHE DOESN’T CARE.  🇺🇸;0.138;0.619;0.243;0.8073
Congratulations to trump;0.0;0.339;0.661;0.5994
"This is what happens when you don't have a Monarchy; a Dictator!  He says he won - but if he'd lost, he'd say it was 'fixed'... Haley could say the same. Britain needs to rule America again! Clearly unable to rule itself allowing someone to stand accused of so much...  I’m so glad I don’t live in a Republic; what happened that January would never have happened with a Monarchy; a President has nobody to answer to – hence why they can do ridiculous things like pardon themselves. I would NEVER live in a Republic; God Save Our Great ad Queen!  The people voting for him talk of democracy; their giving it up if they but knew it, and the irony is; they’ll be the very first to squeal like babies when they eventually find out... I pity them.";0.075;0.711;0.214;0.9801
Of course it wasn't a landslide victory, the corrupt democrat/permanent Washington plant has endless money backing. Isn't gonna stop the people though, yeah baby!!! 🇺🇲;0.0;0.784;0.216;0.6204
That's my PRESIDENT !;0.0;1.0;0.0;0.0
The rapist would be on the floor if he said that about my mother or aunt' or sister.;0.224;0.776;0.0;-0.7096
"""I don't get angry, I get even""
I hope he does once he's elected again. He needs to get even with a whole bunch";0.0;0.797;0.203;0.681
Fake news 📰 fake news 🗞️ 😆😆😆;0.251;0.445;0.304;0.0772
USA ❤🎉;0.0;0.303;0.697;0.7845
I wonder how many Democrats voted for Trump???;0.0;1.0;0.0;0.0
Nikki is a traitor to America;0.0;1.0;0.0;0.0
In fact democrats did a lot of dirty things in NH that should be investigated and he still won. So this election Republicans state by state must be vigilant with vote counting and make sure these incompetent clowns don't steal again;0.111;0.627;0.263;0.8053
Trumpster Supreme wins in November if election isn't rigged again.;0.0;0.427;0.573;0.8559
"No TRUMP LOST  big name, lots of media coverage shulda creamed any other candidate. ALL men bowed out kissed ring. Hailey  🎵 🎶 "" I'm still standing better than I ever did  feeling like a true survivor yeah yea yea""🎶 after all this time yeah yea yea. 🎶";0.033;0.641;0.326;0.9493
"🇺🇸. Nikki Haley is absolutely horrible.   The campaign has exposed her narcissistic, self centered, greed for power at all cost  and  dumping Americans, America First and the Unity of the Republican Party.   Now, on abilities, she certainly is not presidential material.; therefore endangering America on the path of decline.   She should be grateful that Trump gave her a hand in his administration.   Nikki is a selfish opportunist and certainly not a  patriotic Republican.   🇺🇸";0.143;0.673;0.184;0.4033
When Trump wins the primary, GOP will lose the elections..... most democrats would have voted for Trump in primary to make him win, so that Biden beats him in the elections.;0.071;0.733;0.196;0.7003
Donald J Trump. 2024 make safe home land.;0.0;0.707;0.293;0.4404
#winning;0.0;0.0;1.0;0.5267
Trump Trump Trump 🗳👌;0.0;0.533;0.467;0.7297
I'm English and absolutely rooting for DT.;0.0;1.0;0.0;0.0
"Trump 2024 ! More great news for the Trump train, haha. Can't wait till he gets back in office.
Nik from Australia";0.0;0.722;0.278;0.8264
The war monger hely can't win;0.635;0.365;0.0;-0.7889
Trump is so intimidated but haileys rise in popularity.. yes she lost but her base a every primary..at this rate it will be closer than maga can handle .. and when hes convicted its OVER;0.121;0.704;0.175;0.5235
USA USA USA USA USA 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸;0.0;1.0;0.0;0.0
Us will have to do easy the immigrantion system for the work permits and Student Visas then the illegal immigrants flow will be low;0.193;0.709;0.098;-0.4215
Hail to Trump, America only wants Trump, no one can take Trump's place;0.152;0.759;0.09;-0.2263
CULT OF TRUMP;0.0;1.0;0.0;0.0
TRUMP IS A WINNER!!!!!!;0.0;0.377;0.623;0.7156
MAKE AMERICA GREAT AGAIN 🇺🇸❤;0.0;0.356;0.644;0.876
If Nikki truly came in only 10% less than Trump tonight in New Hampshire (54% vs Nikki 45%) WHERE DID ALL THE DESANTIS VOTES FOR TRUMP GO?  Trump true votes were 60% vs 40% Nikki.  Lots of rigging and cheating going on by NH Governor .  When will republicans stop being so naive?  No way did Nikki get 45%.;0.152;0.716;0.133;-0.1023
She got 45% when trump was the incumbent;0.0;1.0;0.0;0.0
Imagine having to cut a victory speech just because you didn't get completely shellacked lol. Nobody stood a chance against Trump;0.083;0.715;0.202;0.4549
Nikki Haley is a Hilary Clinton Jr.;0.0;1.0;0.0;0.0
Some needs to tell her that second . Is just the first loser. Hahaha 😆 😂 😅. FJB and Trump 2024;0.127;0.576;0.297;0.7964
Trump didn't win the general election in New Hampshire.  Does he lie automatically or is he just that stupid??;0.287;0.713;0.0;-0.7803
Look at Trump's speech. He never has a heart for a free world campaign for the US President.  He was supposed to say something positive about Nikki Haley to unite the party and voters, but he only smashed her down. He still thinks he won over Joe Biden in 2020 and that is a real problem for him.;0.083;0.753;0.164;0.6824
The wifey is MIA again.  I think she's on her way out the door.;0.184;0.816;0.0;-0.4466
"She lost BIG TIME

WINNING WINNING WINNING ⭐️🇺🇸⭐️🇺🇸";0.117;0.254;0.629;0.9022
DT 2024 let’s go;0.0;1.0;0.0;0.0
If you won in 2020 why did Pelosi say the opposite?;0.0;0.73;0.27;0.5719
